// Database Design Final Exam - CSCI 5603
// 50 Multiple Choice Questions covering Lectures 1-10
// Save as CSV UTF-8 encoded

NewQuestion,MC,,,
ID,CSCI5603-001,,,
Title,File Systems Limitation,,,
QuestionText,Which of the following is NOT a major limitation of file-based systems?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Data separation and isolation,,File-based systems do have data separation issues where each program manages its own files.
Option,100,Improved data security,,Correct! File-based systems actually have POOR data security. This is one of their major limitations not an advantage.
Option,0,Data duplication and redundancy,,File-based systems suffer from data being stored multiple times across different files.
Option,0,Application-data dependence,,File-based systems tightly couple data structure to application code making changes difficult.
Hint,Think about what file-based systems are BAD at - the question asks for what is NOT a limitation.,,
Feedback,The five major limitations of file-based systems are: data separation; data duplication; data dependence; incompatible file formats; and fixed queries. Improved security is not one of them!,,

NewQuestion,MC,,,
ID,CSCI5603-002,,,
Title,Database System Components,,,
QuestionText,What are the two main components of a database system?,,,
Points,2,,,
Difficulty,2,,,
Option,0,Tables and Queries,,These are database objects but not the main components of the system.
Option,100,Database and DBMS,,Correct! A database system consists of the Database (shared collection of data) and the DBMS (software to manage it).
Option,0,DDL and DML,,These are database languages not the main components of the system.
Option,0,Users and Administrators,,These are roles in the database environment not system components.
Hint,Think about the data itself and the software that manages it.,,
Feedback,A database system has two key parts: the Database (logically related data and its description) and the DBMS (software enabling users to define create maintain and control access).,,

NewQuestion,MC,,,
ID,CSCI5603-003,,,
Title,DDL Purpose,,,
QuestionText,What does DDL stand for and what is it used for?,,,
Points,2,,,
Difficulty,2,,,
Option,100,Data Definition Language - defines database structure,,Correct! DDL includes commands like CREATE TABLE ALTER TABLE and DROP TABLE to define the schema.
Option,0,Data Display Language - shows query results,,There is no such language in database systems.
Option,0,Data Deletion Language - removes records,,Deletion is part of DML (DELETE statement) not DDL.
Option,0,Database Design Logic - plans schemas,,While related to design this is not what DDL stands for.
Hint,Think about the language used to CREATE and ALTER table structures.,,
Feedback,DDL (Data Definition Language) defines the database structure using commands like CREATE ALTER and DROP. DML (Data Manipulation Language) manipulates data using SELECT INSERT UPDATE DELETE.,,

NewQuestion,MC,,,
ID,CSCI5603-004,,,
Title,ANSI-SPARC Architecture,,,
QuestionText,What are the three levels of the ANSI-SPARC architecture?,,,
Points,2,,,
Difficulty,3,,,
Option,0,User Application Database,,These are not the three levels of the ANSI-SPARC architecture.
Option,100,External Conceptual Internal,,Correct! These represent the view level logical level and physical level respectively.
Option,0,Physical Logical Virtual,,While similar these are not the exact terms used in ANSI-SPARC.
Option,0,Client Server Storage,,This describes a different type of architecture (three-tier application architecture).
Hint,Remember: users see views; designers see the logical schema; system sees physical storage.,,
Feedback,ANSI-SPARC has three levels: External (user views); Conceptual (complete logical structure); Internal (physical storage). This separation provides data independence.,,

NewQuestion,MC,,,
ID,CSCI5603-005,,,
Title,Controlled Access Features,,,
QuestionText,Which of the following is NOT one of the four controlled access features provided by a DBMS?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Security System,,Security is one of the four controlled access features protecting against unauthorized access.
Option,0,Integrity Constraints,,Integrity constraints ensure data accuracy and consistency - this is one of the four features.
Option,100,Query Optimization,,Correct! While important query optimization is not one of the four controlled access features.
Option,0,Concurrency Control,,Concurrency control manages simultaneous access - this is one of the four features.
Hint,The four features are about controlling WHO accesses data WHAT rules data must follow HOW multiple users work together and RECOVERY from failures.,,
Feedback,The four controlled access features are: Security System; Integrity Constraints; Concurrency Control; and Recovery Services. Query optimization is separate.,,

NewQuestion,MC,,,
ID,CSCI5603-006,,,
Title,Relational Model Tuple,,,
QuestionText,In the relational model what is a tuple?,,,
Points,2,,,
Difficulty,2,,,
Option,0,A column in a table,,This describes an attribute not a tuple.
Option,100,A row in a table,,Correct! A tuple is a row representing a single record in the relation.
Option,0,A constraint on data,,This describes an integrity constraint not a tuple.
Option,0,A relationship between tables,,This describes a foreign key relationship not a tuple.
Hint,Think about the individual records in your Movies table - each movie is one...,,
Feedback,Key terms: Relation=table; Tuple=row; Attribute=column; Domain=allowed values; Degree=number of columns; Cardinality=number of rows.,,

NewQuestion,MC,,,
ID,CSCI5603-007,,,
Title,Primary Key Definition,,,
QuestionText,What type of key uniquely identifies each tuple in a relation?,,,
Points,2,,,
Difficulty,2,,,
Option,0,Foreign Key,,A foreign key references another table's primary key but doesn't uniquely identify tuples in its own table.
Option,0,Candidate Key,,A candidate key CAN uniquely identify tuples but may not be the chosen key.
Option,100,Primary Key,,Correct! The primary key is the chosen candidate key that uniquely identifies each tuple.
Option,0,Alternate Key,,An alternate key is a candidate key that was NOT chosen as primary.
Hint,This is the ONE key you choose to uniquely identify every row in your table.,,
Feedback,Primary Key = the chosen candidate key for unique identification. Candidate Keys = minimal superkeys. Foreign Key = references another table's primary key. Alternate Key = non-chosen candidate key.,,

NewQuestion,MC,,,
ID,CSCI5603-008,,,
Title,Relational Algebra Selection,,,
QuestionText,Which relational algebra operation selects specific rows from a relation based on a condition?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Projection (π),,Projection selects specific COLUMNS (vertical subset) not rows.
Option,100,Selection (σ),,Correct! Selection chooses specific ROWS based on a condition (horizontal subset).
Option,0,Union (∪),,Union combines tuples from two relations not selecting rows from one.
Option,0,Join (⋈),,Join combines tuples from TWO relations not selecting from one.
Hint,Think about the SQL WHERE clause - what relational algebra operation does it correspond to?,,
Feedback,Selection (σ) = WHERE clause (choose rows). Projection (π) = SELECT columns (choose columns). Selection is horizontal; Projection is vertical.,,

NewQuestion,MC,,,
ID,CSCI5603-009,,,
Title,Join Types,,,
QuestionText,What type of join operation combines tuples from two relations based on a matching condition?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Natural Join only,,Natural join does this but it's not the only type.
Option,0,Theta Join only,,Theta join does this but it's not the only type.
Option,0,Equijoin only,,Equijoin does this but it's not the only type.
